Feature ID	Taxon	Confidence
e5369955e1893e007accdc9cdbc4b182	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	0.9972943907773804
c400f45933213cca13f20a396397f378	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	0.9999485056641281
3f525414af065a53856e0ec5d6f5edb4	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__	0.9998947521831704
0d1229e0c7ff3bfdf7ee6268ed45a17b	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__	0.9999708795332791
48c7f078f14402be0dc70b28066786c8	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	0.9991124721648023
da3d9d9cd7e2304be83a43e5c5f476a3	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__	0.9946020659985007
eb25ec91a34ebe302721c750afc78457	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__	0.9842725808247237
fed035c68c4076c933233d42df791109	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__	0.9485357069942141
b321cf974a807c2d215948952d25c3d4	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__	0.9919779512001594
69b5809f7115c4becdadb64254027893	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__	0.9999998841147213
4833f3b5328211a2301f9f9a02172e63	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__	0.9999993865973699
d7f8000b96f0cd49961cf319c948b5e1	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__	0.9956891889117947
4e00c989f5cb4354ceb8c9b9e3e48adf	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__	0.9999995028482643
228fa6e69fb2d7cc78d54f3961e1fd1a	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__	0.9999999998370299
f8d5a493f963d8316e31464724e7ce43	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__	0.9998606778959658
5feb453da2b512528e92bebc14323aa2	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__	0.9973315284948322
3c02b66c76adf5ce41da9adb7a3710d5	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__	0.9999999999999716
169586aeb959934d0b026aada47afb00	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__	0.9999681302134737
